button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect
1,[2.1680000000000064],[2.1680000000000064],A3J1R75M3TFTTL,30,male,6,2022-11-08_19h45.27.606,memory_pilot_most_recent,2022.2.4,Win32,13.10701881,,,,,,,,,,,
,,,A3J1R75M3TFTTL,30,male,6,2022-11-08_19h45.27.606,memory_pilot_most_recent,2022.2.4,Win32,13.10701881,,,,,,,,,,,
,,,A3J1R75M3TFTTL,30,male,6,2022-11-08_19h45.27.606,memory_pilot_most_recent,2022.2.4,Win32,13.10701881,space,6.9049,,,,,,,,,
,,,A3J1R75M3TFTTL,30,male,6,2022-11-08_19h45.27.606,memory_pilot_most_recent,2022.2.4,Win32,13.10701881,,,,,,,,,,,
,,,A3J1R75M3TFTTL,30,male,6,2022-11-08_19h45.27.606,memory_pilot_most_recent,2022.2.4,Win32,13.10701881,,,,1,0,0,0,0,1,flower1.jpg,
,,,A3J1R75M3TFTTL,30,male,6,2022-11-08_19h45.27.606,memory_pilot_most_recent,2022.2.4,Win32,13.10701881,,,,1,0,1,1,1,1,flower2.jpg,
