target_image,pair,layer,correct
2874299429-139695.jpg,2883266388-67750.jpg,1,
2901939379-143480.jpg,2964218373-71170.jpg,2,
2964218374-144967.jpg,2964218374-144968.jpg,1,
2575120738-55529.jpg,2898632385-217137.jpg,1,
2458347385-199723.jpg,2238436632-314070.jpg,3,
2238580740-186218.jpg,2874312404-140477.jpg,3,
2460547508-51571.jpg,2898633480-217189.jpg,2,
left.jpg,,,left
2901948350-218459.jpg,2898629328-68806.jpg,2,
2898624426-291546.jpg,2964207374-144577.jpg,1,
2452380832-348593.jpg,2238328478-11678.jpg,1,
2898617468-68274.jpg,2981243399-145923.jpg,3,
2901952513-70703.jpg,2901949316-293454.jpg,2,
2874302418-65979.jpg,2901939433-69673.jpg,2,
2883268471-290842.jpg,2883266367-365742.jpg,3,
2238480677-317399.jpg,2238573546-258454.jpg,3,
2898634397-367080.jpg,2898636423-69152.jpg,2,
right.jpg,,,right
2901947423-70311.jpg,2860312398-62572.jpg,1,
2238481928-19949.jpg,2864910427-362200.jpg,3,
2592380177-354626.jpg,2986408339-146952.jpg,1,
2452381505-199546.jpg,2449442621-272560.jpg,2,
2964213381-294060.jpg,2598726160-205998.jpg,2,
2512875899-126682.jpg,2512875899-126681.jpg,3,
2446758985-197609.jpg,2981240424-145795.jpg,1,
2901939379-143479.jpg,2446759306-271734.jpg,3,
left.jpg,,,left
2874303365-214262.jpg,2609793677-355397.jpg,1,
2883254439-140941.jpg,2964219379-144996.jpg,3,
2986451363-73599.jpg,2901939327-367669.jpg,1,
2883268412-365898.jpg,2984626312-370849.jpg,1,
2446759347-347016.jpg,2446760362-347305.jpg,3,
2449441881-272368.jpg,2898617374-142166.jpg,2,
2449442529-124446.jpg,2964216376-294181.jpg,2,
2898618444-142233.jpg,2862691449-137104.jpg,2,
2868475410-213219.jpg,2238558380-181702.jpg,3,
2981241414-145842.jpg,2856919327-359676.jpg,1,
2238428357-313623.jpg,2856919327-359675.jpg,3,
2898635427-367120.jpg,2898624426-291545.jpg,3,
2864907432-362042.jpg,2883264367-365621.jpg,2,
2898633421-291973.jpg,2238580922-335631.jpg,2,
2238425482-313537.jpg,2864901352-361731.jpg,3,
2868474407-362883.jpg,2238516618-25604.jpg,1,
2592379964-131054.jpg,2424122686-268072.jpg,3,
left.jpg,,,left
2874301407-363895.jpg,2883264368-67631.jpg,1,
2238560245-182099.jpg,2549106624-127823.jpg,1,
2964223381-294447.jpg,2901938432-367628.jpg,3,
2898635428-69104.jpg,2901942428-69919.jpg,3,
right.jpg,,,right
2964216465-219242.jpg,2238544191-252422.jpg,1,
2460547467-349421.jpg,2898619327-366362.jpg,3,
2592380177-354629.jpg,2901945495-218294.jpg,2,
2446759803-49249.jpg,2238499155-170911.jpg,2,
2898618390-216538.jpg,2864910427-362199.jpg,2,
2449442529-124445.jpg,2901946439-144040.jpg,3,
2238572663-35822.jpg,2575118671-277663.jpg,1,
2238481198-19822.jpg,2862689306-285912.jpg,2,
2874307433-66280.jpg,2986447306-296584.jpg,1,
2901941401-292798.jpg,2964223380-219495.jpg,2,
2981231403-71642.jpg,2864900358-63717.jpg,2,
2883256307-365057.jpg,2611628310-206388.jpg,1,
2864910426-287204.jpg,2864902304-137862.jpg,1,
2460547467-349422.jpg,2989721311-296963.jpg,2,
2874302418-65978.jpg,2238567130-183315.jpg,3,
