target_image,pair,layer,correct
2898635427-367120.jpg,2898621427-366486.jpg,3,
2874299429-139695.jpg,2446760917-347439.jpg,3,
2238572663-35822.jpg,2864903351-286874.jpg,3,
2986451363-73599.jpg,2860302315-210704.jpg,2,
2446759803-49249.jpg,2901951392-368654.jpg,3,
2898617468-68274.jpg,2901946439-144040.jpg,1,
2446758985-197609.jpg,2981240424-145795.jpg,1,
2458347385-199723.jpg,2427874554-121863.jpg,2,
2898624426-291546.jpg,2964218432-369263.jpg,1,
2898618390-216538.jpg,2575120609-129862.jpg,3,
2460547467-349421.jpg,2898631394-142727.jpg,1,
2460547467-349422.jpg,2864909447-362146.jpg,3,
right.jpg,,,right
2868475410-213219.jpg,2868474407-362885.jpg,3,
2901939379-143480.jpg,2981229442-369621.jpg,2,
2986451363-73598.jpg,2984628361-295995.jpg,2,
2874301407-363895.jpg,2901947323-70275.jpg,3,
left.jpg,,,left
2901947423-70311.jpg,2238573447-333826.jpg,2,
2460547508-51571.jpg,2452380166-273109.jpg,1,
2883268412-365898.jpg,2984626312-370849.jpg,1,
2452381505-199546.jpg,2898632385-217138.jpg,2,
2238481928-19949.jpg,2883264367-365620.jpg,1,
2901941401-292798.jpg,2898618327-366317.jpg,1,
2868474407-362883.jpg,2460547732-349518.jpg,1,
2449442529-124446.jpg,2446759803-49251.jpg,1,
2898633421-291973.jpg,2512876023-52283.jpg,1,
2592380177-354629.jpg,2512875587-350044.jpg,3,
2592379964-131054.jpg,2592380272-354673.jpg,3,
2864910426-287204.jpg,2901939433-69672.jpg,3,
2238428357-313623.jpg,2238499057-320266.jpg,1,
2964223381-294447.jpg,2901941438-69836.jpg,2,
2452380832-348593.jpg,2238481813-19930.jpg,2,
right.jpg,,,right
2964222378-71332.jpg,2901933382-367209.jpg,2,
2901939379-143479.jpg,2446758985-197610.jpg,2,
2575120738-55529.jpg,2238531493-28260.jpg,3,
2874302418-65978.jpg,2964224310-219528.jpg,1,
2874307433-66280.jpg,2981231422-369714.jpg,3,
2964218374-144967.jpg,2981231446-294732.jpg,3,
2874299429-139694.jpg,2981244403-72215.jpg,2,
2964216465-219242.jpg,2898619327-366362.jpg,3,
2238480677-317399.jpg,2238481630-168218.jpg,1,
2964213381-294060.jpg,2964213381-294061.jpg,3,
right.jpg,,,right
2898618444-142233.jpg,2898631359-142721.jpg,1,
2238481198-19822.jpg,2238480803-19737.jpg,3,
2883268471-290842.jpg,2901947448-70314.jpg,3,
right.jpg,,,right
2238425482-313537.jpg,2238436322-314047.jpg,2,
2901952513-70703.jpg,2868469411-287540.jpg,2,
2874303365-214262.jpg,2238563377-332054.jpg,2,
2512875899-126682.jpg,2592380177-354628.jpg,2,
2981231403-71642.jpg,2579432519-130698.jpg,1,
2898634397-367080.jpg,2901934408-69289.jpg,2,
2874302418-65979.jpg,2238578544-111698.jpg,3,
2238560245-182099.jpg,2592380255-205553.jpg,1,
2883273443-68193.jpg,2883254439-140940.jpg,1,
2883256307-365057.jpg,2964210336-293945.jpg,2,
2864907432-362042.jpg,2901947423-70310.jpg,2,
2592380177-354626.jpg,2238576792-334659.jpg,1,
2238580740-186218.jpg,2238521193-26285.jpg,2,
2898635428-69104.jpg,2446759803-49250.jpg,1,
2449442529-124445.jpg,2898632385-217137.jpg,3,
2981241414-145842.jpg,2874301404-139813.jpg,2,
