,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
44,6,2.0,left.jpg,left,0.971,left,14.0,left,1.0,1.7358,2.0,flower3.jpg,flower3_pair.jpg,left,A19FW6H7BGKRVT
45,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.3403,3.0,flower4.jpg,flower4_pair.jpg,left,A19FW6H7BGKRVT
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.6537,4.0,flower5_pair.jpg,flower5.jpg,right,A19FW6H7BGKRVT
47,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.0329,5.0,flower6.jpg,flower6_pair.jpg,left,A19FW6H7BGKRVT
48,10,6.0,flower6.jpg,,,,,,,,,,,,A19FW6H7BGKRVT
49,4,0.0,flower1.jpg,,,,12.0,right,0.0,8.2825,0.0,flower1.jpg,flower1_pair.jpg,left,ACR6012D868PP
50,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.0707,1.0,flower2_pair.jpg,flower2.jpg,right,ACR6012D868PP
51,6,2.0,left.jpg,left,,,14.0,right,0.0,2.8903,2.0,flower3.jpg,flower3_pair.jpg,left,ACR6012D868PP
52,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.1734,3.0,flower4.jpg,flower4_pair.jpg,left,ACR6012D868PP
53,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.1741,4.0,flower5_pair.jpg,flower5.jpg,right,ACR6012D868PP
54,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.775599999,5.0,flower6.jpg,flower6_pair.jpg,left,ACR6012D868PP
55,10,6.0,flower6.jpg,,,,,,,,,,,,ACR6012D868PP
56,4,0.0,flower1.jpg,,,,12.0,left,1.0,6.3149,0.0,flower1.jpg,flower1_pair.jpg,left,A2U5OFMW8H30PC
57,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.6987,1.0,flower2_pair.jpg,flower2.jpg,right,A2U5OFMW8H30PC
58,6,2.0,left.jpg,left,0.9488,left,14.0,left,1.0,1.6713,2.0,flower3.jpg,flower3_pair.jpg,left,A2U5OFMW8H30PC
