,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
35,4,0.0,flower1.jpg,,,,12.0,left,1.0,6.1481,0.0,flower1.jpg,flower1_pair.jpg,left,A3EFT5ETMGRUC2_2022-11-24_10h38.21.210.csv
36,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.779,1.0,flower2_pair.jpg,flower2.jpg,right,A3EFT5ETMGRUC2_2022-11-24_10h38.21.210.csv
37,6,2.0,left.jpg,left,0.9055,left,14.0,left,1.0,1.7122,2.0,flower3.jpg,flower3_pair.jpg,left,A3EFT5ETMGRUC2_2022-11-24_10h38.21.210.csv
38,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.4645,3.0,flower4.jpg,flower4_pair.jpg,left,A3EFT5ETMGRUC2_2022-11-24_10h38.21.210.csv
39,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.0254,4.0,flower5_pair.jpg,flower5.jpg,right,A3EFT5ETMGRUC2_2022-11-24_10h38.21.210.csv
40,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.5038,5.0,flower6.jpg,flower6_pair.jpg,left,A3EFT5ETMGRUC2_2022-11-24_10h38.21.210.csv
41,10,6.0,flower6.jpg,,,,,,,,,,,,A3EFT5ETMGRUC2_2022-11-24_10h38.21.210.csv
42,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.8256,0.0,flower1.jpg,flower1_pair.jpg,left,A3HZFB2JLF3JMY_2022-11-24_10h28.21.791.csv
43,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.61,1.0,flower2_pair.jpg,flower2.jpg,right,A3HZFB2JLF3JMY_2022-11-24_10h28.21.791.csv
44,6,2.0,left.jpg,left,1.1825,left,14.0,left,1.0,1.343,2.0,flower3.jpg,flower3_pair.jpg,left,A3HZFB2JLF3JMY_2022-11-24_10h28.21.791.csv
45,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.4765,3.0,flower4.jpg,flower4_pair.jpg,left,A3HZFB2JLF3JMY_2022-11-24_10h28.21.791.csv
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.5218,4.0,flower5_pair.jpg,flower5.jpg,right,A3HZFB2JLF3JMY_2022-11-24_10h28.21.791.csv
47,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.3916,5.0,flower6.jpg,flower6_pair.jpg,left,A3HZFB2JLF3JMY_2022-11-24_10h28.21.791.csv
48,10,6.0,flower6.jpg,,,,,,,,,,,,A3HZFB2JLF3JMY_2022-11-24_10h28.21.791.csv
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.3932,0.0,flower1.jpg,flower1_pair.jpg,left,AE9KNJZWDCDSE_2022-11-24_10h25.25.804.csv
50,5,1.0,flower2.jpg,,,,13.0,left,0.0,5.3499,1.0,flower2_pair.jpg,flower2.jpg,right,AE9KNJZWDCDSE_2022-11-24_10h25.25.804.csv
51,6,2.0,left.jpg,left,1.6511,left,14.0,left,1.0,2.8692,2.0,flower3.jpg,flower3_pair.jpg,left,AE9KNJZWDCDSE_2022-11-24_10h25.25.804.csv
52,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.204,3.0,flower4.jpg,flower4_pair.jpg,left,AE9KNJZWDCDSE_2022-11-24_10h25.25.804.csv
