target_image,pair,layer,correct
2592380177-354629.jpg,2898633421-291974.jpg,1,
2512875899-126682.jpg,2460547536-274179.jpg,1,
2898618444-142233.jpg,2898618444-142232.jpg,3,
2964218374-144967.jpg,2964218374-144968.jpg,1,
2452381505-199546.jpg,2898632385-217138.jpg,2,
2898618390-216538.jpg,2575120609-129862.jpg,3,
2238428357-313623.jpg,2238499057-320266.jpg,1,
2868474407-362883.jpg,2460547732-349518.jpg,1,
2901939379-143479.jpg,2446758985-197610.jpg,2,
2898633421-291973.jpg,2238550049-105691.jpg,3,
2238480677-317399.jpg,2238480278-19661.jpg,3,
left.jpg,,,left
2874301407-363895.jpg,2986397322-371109.jpg,2,
2238425482-313537.jpg,2898633480-217190.jpg,3,
2898634397-367080.jpg,2901934408-69289.jpg,2,
2460547467-349421.jpg,2452380166-273110.jpg,2,
2452380832-348593.jpg,2237858942-299356.jpg,3,
left.jpg,,,left
2901947423-70311.jpg,2238573447-333826.jpg,2,
2883268412-365898.jpg,2238436252-314037.jpg,3,
2898617468-68274.jpg,2964207374-144577.jpg,3,
2238560245-182099.jpg,2874314526-289684.jpg,2,
2901941401-292798.jpg,2898618327-366317.jpg,1,
2883256307-365057.jpg,2964210336-293945.jpg,2,
2575120738-55529.jpg,2864906345-212360.jpg,1,
2460547467-349422.jpg,2898618440-216545.jpg,1,
2898635427-367120.jpg,2898621427-366486.jpg,3,
right.jpg,,,right
2874302418-65979.jpg,2238480648-19714.jpg,2,
2449442529-124446.jpg,2446759803-49251.jpg,1,
2238481198-19822.jpg,2238480803-19737.jpg,3,
2446759803-49249.jpg,2901951392-368654.jpg,3,
2864907432-362042.jpg,2864901420-212147.jpg,1,
2874302418-65978.jpg,2898633321-291943.jpg,3,
2460547508-51571.jpg,2981232437-369759.jpg,2,
2238481928-19949.jpg,2864900357-361688.jpg,2,
2238580740-186218.jpg,2238550816-254000.jpg,1,
2964213381-294060.jpg,2458348012-349114.jpg,2,
2874299429-139694.jpg,2986447306-296584.jpg,1,
2449442529-124445.jpg,2898632385-217137.jpg,3,
left.jpg,,,left
2868475410-213219.jpg,2901946465-218350.jpg,1,
2898624426-291546.jpg,2981235446-294900.jpg,3,
2986451363-73599.jpg,2238434559-90406.jpg,3,
2964216465-219242.jpg,2864900319-137787.jpg,2,
2883268471-290842.jpg,2883255450-215310.jpg,2,
2458347385-199723.jpg,2458347252-348911.jpg,3,
2592379964-131054.jpg,2575963989-130576.jpg,1,
right.jpg,,,right
2986451363-73598.jpg,2237857458-1324.jpg,1,
2898635428-69104.jpg,2901943411-292945.jpg,2,
2883273443-68193.jpg,2883254439-140940.jpg,1,
2981231403-71642.jpg,2874305405-214397.jpg,2,
2446758985-197609.jpg,2864909447-362144.jpg,2,
2592380177-354626.jpg,2238576792-334659.jpg,1,
2874299429-139695.jpg,2446760917-347439.jpg,3,
2981241414-145842.jpg,2238516618-25604.jpg,1,
2901952513-70703.jpg,2238481198-19821.jpg,3,
2864910426-287204.jpg,2864902304-137862.jpg,1,
2238572663-35822.jpg,2238584894-113161.jpg,1,
2964223381-294447.jpg,2898628438-68785.jpg,3,
2964222378-71332.jpg,2901933382-367209.jpg,2,
2901939379-143480.jpg,2981229442-369621.jpg,2,
2874303365-214262.jpg,2864911457-362260.jpg,3,
2874307433-66280.jpg,2981246400-220365.jpg,2,
