button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,left,1,2.398,0,33,33,33,1,2864907432-362042.jpg,2883264367-365621.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,right,0,2.387200001,0,34,34,34,1,2874302418-65979.jpg,2901939433-69673.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,right,0,2.035800001,0,35,35,35,1,2449442529-124446.jpg,2452380171-273112.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,left,1,3.004800001,0,36,36,36,1,2964216465-219242.jpg,2238544191-252422.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left,,,,right,0,4.236300001,0,37,37,37,1,2238580740-186218.jpg,2238550816-254000.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,,,,right,1,1.7284,0,38,38,38,1,2575963989-130576.jpg,2592379964-131054.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,left,,,,right,0,1.933300001,0,39,39,39,1,2901948350-218459.jpg,2898629328-68806.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,left,0,6.9306,0,40,40,40,1,2238574878-36413.jpg,2981231403-71642.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,right,,,,right,1,6.186099998,0,41,41,41,1,2238375825-162206.jpg,2238572663-35822.jpg,,
,,,A141BEGMEHN31L,46,male,7,2022-11-24_10h59.53.074,memory_pilot_most_recent,2022.2.4,Win32,16.76727029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,left,,,,left,1,1.510300001,0,42,42,42,1,2874307433-66280.jpg,2446759396-271761.jpg,,
