button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate
1,[2.567200000047677],[2.567200000047677],A6Y7SZU9L301W,42,Male,7,2022-11-08_12h02.04.167,memory_pilot_most_recent,2022.2.4,Win32,144.0299582
,,,A6Y7SZU9L301W,42,Male,7,2022-11-08_12h02.04.167,memory_pilot_most_recent,2022.2.4,Win32,144.0299582
