,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
35,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.753,0.0,flower1.jpg,flower1_pair.jpg,left,A2RZYTE48OHTMZ_2022-10-02_10h08.36.036.csv
36,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.749,1.0,flower2_pair.jpg,flower2.jpg,right,A2RZYTE48OHTMZ_2022-10-02_10h08.36.036.csv
37,6,2.0,left.jpg,left,0.525,left,14.0,left,1.0,1.831,2.0,flower3.jpg,flower3_pair.jpg,left,A2RZYTE48OHTMZ_2022-10-02_10h08.36.036.csv
38,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.137,3.0,flower4.jpg,flower4_pair.jpg,left,A2RZYTE48OHTMZ_2022-10-02_10h08.36.036.csv
39,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.879,4.0,flower5_pair.jpg,flower5.jpg,right,A2RZYTE48OHTMZ_2022-10-02_10h08.36.036.csv
40,9,5.0,flower5.jpg,,,,17.0,left,1.0,3.904,5.0,flower6.jpg,flower6_pair.jpg,left,A2RZYTE48OHTMZ_2022-10-02_10h08.36.036.csv
41,10,6.0,flower6.jpg,,,,,,,,,,,,A2RZYTE48OHTMZ_2022-10-02_10h08.36.036.csv
42,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.68,0.0,flower1.jpg,flower1_pair.jpg,left,A2R2ZA0STNZX9S_2022-10-02_09h07.42.628.csv
43,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.828,1.0,flower2_pair.jpg,flower2.jpg,right,A2R2ZA0STNZX9S_2022-10-02_09h07.42.628.csv
44,6,2.0,left.jpg,left,,,14.0,left,1.0,1.98,2.0,flower3.jpg,flower3_pair.jpg,left,A2R2ZA0STNZX9S_2022-10-02_09h07.42.628.csv
45,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.3,3.0,flower4.jpg,flower4_pair.jpg,left,A2R2ZA0STNZX9S_2022-10-02_09h07.42.628.csv
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.168,4.0,flower5_pair.jpg,flower5.jpg,right,A2R2ZA0STNZX9S_2022-10-02_09h07.42.628.csv
47,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.891,5.0,flower6.jpg,flower6_pair.jpg,left,A2R2ZA0STNZX9S_2022-10-02_09h07.42.628.csv
48,10,6.0,flower6.jpg,,,,,,,,,,,,A2R2ZA0STNZX9S_2022-10-02_09h07.42.628.csv
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.5255,0.0,flower1.jpg,flower1_pair.jpg,left,A34LSCB90T5KYE_2022-10-02_09h50.31.623.csv
50,5,1.0,flower2.jpg,,,,13.0,left,0.0,2.1838,1.0,flower2_pair.jpg,flower2.jpg,right,A34LSCB90T5KYE_2022-10-02_09h50.31.623.csv
51,6,2.0,left.jpg,left,0.6907,left,14.0,left,1.0,1.4152,2.0,flower3.jpg,flower3_pair.jpg,left,A34LSCB90T5KYE_2022-10-02_09h50.31.623.csv
52,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.0991,3.0,flower4.jpg,flower4_pair.jpg,left,A34LSCB90T5KYE_2022-10-02_09h50.31.623.csv
